Q60888	Ensembl	ENSMUSG00000062121.4
Q8VBW9	Ensembl	ENSMUSG00000054666.8
Q60885	Ensembl	ENSMUSG00000069430.4
Q9CQV8	Ensembl	ENSMUSG00000018326.10
P62259	Ensembl	ENSMUSG00000020849.14
P68510	Ensembl	ENSMUSG00000018965.12
P61982	Ensembl	ENSMUSG00000051391.10
O70456	Ensembl	ENSMUSG00000047281.4
P68254	Ensembl	ENSMUSG00000076432.14
P63101	Ensembl	ENSMUSG00000022285.18
A2AIG8	Ensembl	ENSMUSG00000040272.15
Q3UX83	Ensembl	ENSMUSG00000075023.13
Q6PD03	Ensembl	ENSMUSG00000026626.12
Q6PD28	Ensembl	ENSMUSG00000024777.11
Q61151	Ensembl	ENSMUSG00000021051.11
Q60996	Ensembl	ENSMUSG00000017843.15
Q76MZ3	Ensembl	ENSMUSG00000007564.16
Q7TNP2	Ensembl	ENSMUSG00000032058.15
Q6P1F6	Ensembl	ENSMUSG00000022052.10
Q6ZWR4	Ensembl	ENSMUSG00000024500.21
Q925E7	Ensembl	ENSMUSG00000041769.14
Q8BG02	Ensembl	ENSMUSG00000029120.11
C0HKD1	Ensembl	ENSMUSG00000078746.3
C0HKD1	Ensembl	ENSMUSG00000093996.3
C0HKD1	Ensembl	ENSMUSG00000094066.2
C0HKD2	Ensembl	ENSMUSG00000078746.3
C0HKD2	Ensembl	ENSMUSG00000093996.3
C0HKD2	Ensembl	ENSMUSG00000094066.2
C0HKD3	Ensembl	ENSMUSG00000078746.3
C0HKD3	Ensembl	ENSMUSG00000093996.3
C0HKD3	Ensembl	ENSMUSG00000094066.2
P24815	Ensembl	ENSMUSG00000027871.17
P26149	Ensembl	ENSMUSG00000063730.14
P26150	Ensembl	ENSMUSG00000062410.15
Q61767	Ensembl	ENSMUSG00000095388.9
Q61767	Ensembl	ENSMUSG00000095143.6
Q61694	Ensembl	ENSMUSG00000038092.7
O35469	Ensembl	ENSMUSG00000027869.15
Q9EQC1	Ensembl	ENSMUSG00000042289.12
P55194	Ensembl	ENSMUSG00000022436.17
Q99LH9	Ensembl	ENSMUSG00000013646.18
Q9Z131	Ensembl	ENSMUSG00000021892.15
Q78JT3	Ensembl	ENSMUSG00000000673.10
Q99L13	Ensembl	ENSMUSG00000029776.12
